-395, -1182, 812
-301, -1291, 568
-477, -1206, 435
-629, -1091, 758
-672, -1085, 1064
-804, -1140, 1016
-1021, -1126, 1036
-1236, -1055, 1100
-1591, -1097, 1206
-1551, -909, 1393
-1430, -807, 1437
-1179, -709, 1451
-888, -637, 1487
-621, -551, 1425
-319, -488, 1253
-55, -509, 1136
124, -532, 937
124, -532, 937
227, -631, 716
367, -701, 908
857, -665, 946
1363, -613, 741
-,-,-
-302, -640, 675
-483, -631, 563
-581, -703, 649
-792, -692, 843
-711, -678, 761
-711, -678, 761
-552, -663, 619
-603, -668, 577
-786, -657, 728
-1014, -663, 897
-1084, -625, 923
-1416, -557, 927
-1943, -379, 908
-1998, -260, 1068
-1998, -212, 1308
-1998, -243, 1454
-1808, -213, 1526
-1704, -96, 1737
-1153, 72, 1956
191, 283, 1998
1710, 441, 1998
1997, 305, 1948
1997, -85, 1764
1997, -461, 1718
-,-,-
-416, -874, 539
-467, -846, 480
-648, -795, 569
-734, -798, 454
-775, -845, 513
-870, -856, 663
-1114, -850, 685
-1423, -777, 616
-1799, -624, 607
-1995, -557, 910
-1998, -464, 1240
-1998, -303, 1526
-1901, -210, 1697
-921, -48, 1691
-2, 69, 1474
946, 9, 1386
946, 9, 1386
1647, -200, 1669
1997, -252, 1497
-,-,-
-574, -596, 490
-696, -613, 470
-687, -593, 427
-465, -672, 507
-465, -672, 507
-370, -718, 615
-468, -679, 535
-643, -587, 530
-639, -639, 702
-558, -775, 817
-1033, -830, 877
-1587, -795, 865
-1766, -653, 815
-1882, -659, 952
-1875, -682, 1295
-1679, -652, 1575
-1121, -591, 1548
-608, -524, 1411
-102, -373, 1184
256, -229, 1030
891, -98, 1053
1640, -89, 1075
1647, -179, 1048
1335, -244, 974
-,-,-
-823, -598, 638
-589, -593, 699
-396, -619, 556
-588, -620, 501
-898, -615, 630
-1323, -555, 713
-1674, -469, 793
-1990, -298, 905
-1998, -165, 820
-1998, -165, 820
-1998, -164, 1039
-1883, -233, 1634
-1814, -94, 1877
-1047, 155, 1909
270, 344, 1852
270, 344, 1852
1554, 431, 1667
1956, 457, 1081
1997, 214, 522
-,-,-
-238, -560, 681
-449, -536, 778
-935, -639, 704
-1191, -511, 713
-891, -440, 510
-956, -461, 476
-1744, -544, 1032
-1924, -525, 1097
-1879, -468, 1126
-1835, -386, 1136
-1887, -284, 929
-1998, -306, 1109
-1956, -282, 1387
-1742, -150, 1520
-1649, -105, 1697
-995, 15, 1700
-135, 28, 1683
601, 157, 1422
902, 68, 1161
902, 68, 1161
1339, -26, 1263
1902, -36, 1309
-,-,-
-278, -565, 442
-609, -560, 426
-594, -708, 737
-361, -651, 854
-895, -676, 877
-1120, -686, 897
-1224, -647, 959
-1393, -678, 1083
-1431, -648, 1068
-1499, -520, 1110
-1863, -484, 1236
-1767, -431, 1302
-1672, -341, 1349
-1210, -317, 1313
-685, -195, 1026
-301, -51, 800
242, -174, 795
707, -238, 1173
-,-,-
-471, -586, 494
-490, -594, 665
-695, -726, 649
-648, -718, 633
-372, -733, 633
-158, -772, 533
-209, -755, 544
-288, -761, 555
-385, -755, 490
-502, -769, 412
-635, -738, 577
-1030, -726, 685
-1612, -590, 639
-1995, -428, 648
-1998, -327, 908
-1998, -248, 1152
-1975, -170, 1295
-1440, -121, 1479
-958, -31, 1523
-601, 90, 1626
255, 82, 1770
255, 82, 1770
1569, -20, 1842
1997, -42, 1845
-,-,-
-317, -603, 1049
-578, -467, 1304
-669, -362, 802
-342, -304, 311
-505, -611, 275
-841, -874, 354
-947, -775, 566
-783, -688, 802
-707, -685, 810
-906, -711, 887
-906, -711, 887
-1204, -756, 1030
-1350, -737, 1016
