-177, -33, 942
-177, -33, 942
-225, 38, 962
-214, 69, 980
-175, 89, 969
-154, 86, 880
-132, 107, 872
-132, 107, 872
-132, 153, 863
-107, 152, 910
-61, 106, 974
-12, 48, 1056
25, 35, 1090
25, 35, 1090
14, -2, 1144
32, 2, 1135
56, 24, 1159
63, 35, 1138
63, 35, 1138
90, 38, 1081
102, 51, 1054
93, 61, 1023
93, 61, 1023
81, 72, 1050
81, 63, 1083
103, 54, 1085
107, 43, 1060
107, 43, 1060
110, 62, 1038
128, 58, 1031
159, 38, 1002
169, 23, 990
169, 23, 990
166, 45, 992
170, 56, 995
194, 54, 1001
233, 41, 984
233, 41, 984
275, 31, 950
297, 33, 928
307, 30, 911
307, 30, 911
282, 36, 922
256, 3, 963
256, -31, 1006
283, -85, 969
283, -85, 969
309, -151, 912
305, -206, 910
262, -237, 948
216, -252, 1005
194, -261, 1023
177, -238, 1005
164, -226, 946
164, -226, 946
142, -227, 949
98, -200, 986
64, -153, 998
49, -103, 1002
49, -69, 994
62, -44, 992
62, -44, 992
84, -24, 976
108, -3, 958
130, -1, 954
130, -1, 954
147, -6, 964
151, -9, 975
150, -7, 986
150, -7, 986
152, -7, 984
162, -7, 976
182, -12, 978
-,-,-
143, -6, 1015
115, -30, 1004
132, 57, 1060
114, 31, 1057
113, 13, 1044
105, 31, 1031
105, 31, 1031
114, 31, 1020
140, -2, 1010
166, -3, 1014
156, 48, 1017
137, 93, 1007
137, 93, 1007
121, 93, 982
111, 64, 961
117, 40, 966
117, 40, 966
122, 49, 993
127, 62, 1010
138, 36, 992
154, 10, 994
154, 10, 994
159, 8, 1021
147, 20, 1021
152, 23, 1014
163, 2, 993
163, 2, 993
168, -5, 980
173, -2, 980
185, -11, 1002
185, -11, 1002
188, -6, 1011
187, -3, 1005
197, -6, 1000
199, -6, 998
184, 0, 1016
184, 0, 1016
178, 1, 1012
197, -24, 994
248, -83, 993
248, -83, 993
271, -121, 986
262, -133, 1004
259, -135, 1012
267, -142, 1013
290, -190, 980
337, -262, 943
402, -347, 952
392, -429, 967
392, -429, 967
279, -429, 988
136, -360, 980
3, -272, 926
-114, -191, 850
-197, -153, 821
-218, -119, 842
-263, -57, 842
-281, 12, 878
-281, 12, 878
-236, 88, 928
-158, 96, 940
-55, 46, 988
-2, 61, 1013
-2, 61, 1013
-6, 92, 1009
3, 99, 1045
10, 127, 1043
10, 127, 1043
20, 138, 1056
55, 129, 1134
99, 81, 1152
144, 77, 1153
156, 118, 1132
156, 118, 1132
179, 159, 1155
210, 182, 1102
226, 194, 1139
237, 209, 1169
279, 169, 1191
352, 103, 1196
387, 43, 1108
